<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
KOGK,D,20160317,000000,41000.0000000
KOGK,D,20160318,000000,41000.0000000
KOGK,D,20160323,000000,40000.0000000
KOGK,D,20160324,000000,40000.0000000
KOGK,D,20160325,000000,40000.0000000
KOGK,D,20160330,000000,37300.0000000
KOGK,D,20160401,000000,38500.0000000
KOGK,D,20160404,000000,39200.0000000
KOGK,D,20160405,000000,38000.0000000
KOGK,D,20160407,000000,39000.0000000
KOGK,D,20160413,000000,39000.0000000
KOGK,D,20160419,000000,39000.0000000
KOGK,D,20160422,000000,38000.0000000
KOGK,D,20160427,000000,38000.0000000
KOGK,D,20160504,000000,37100.0000000
KOGK,D,20160505,000000,35100.0000000
KOGK,D,20160506,000000,41000.0000000
KOGK,D,20160510,000000,39300.0000000
KOGK,D,20160511,000000,38100.0000000
KOGK,D,20160517,000000,37500.0000000
KOGK,D,20160527,000000,39000.0000000
KOGK,D,20160601,000000,38100.0000000
KOGK,D,20160602,000000,39000.0000000
KOGK,D,20160607,000000,38100.0000000
KOGK,D,20160616,000000,36500.0000000
KOGK,D,20160617,000000,32700.0000000
KOGK,D,20160620,000000,34100.0000000
KOGK,D,20160621,000000,35800.0000000
KOGK,D,20160627,000000,33600.0000000
KOGK,D,20160628,000000,33200.0000000
KOGK,D,20160712,000000,33000.0000000
KOGK,D,20160715,000000,34400.0000000
KOGK,D,20160718,000000,32500.0000000
KOGK,D,20160720,000000,31700.0000000
KOGK,D,20160726,000000,32600.0000000
KOGK,D,20160801,000000,32000.0000000
KOGK,D,20160802,000000,31900.0000000
KOGK,D,20160804,000000,32000.0000000
KOGK,D,20160817,000000,32800.0000000
KOGK,D,20160831,000000,32900.0000000
KOGK,D,20160901,000000,32800.0000000
KOGK,D,20160907,000000,33800.0000000
KOGK,D,20160908,000000,39000.0000000
KOGK,D,20160915,000000,38400.0000000
KOGK,D,20160916,000000,36000.0000000
KOGK,D,20160919,000000,36000.0000000
KOGK,D,20160922,000000,36800.0000000
KOGK,D,20160926,000000,40900.0000000
KOGK,D,20160927,000000,40800.0000000
KOGK,D,20160928,000000,48000.0000000
KOGK,D,20160929,000000,40500.0000000
KOGK,D,20160930,000000,41500.0000000
KOGK,D,20161003,000000,41000.0000000
KOGK,D,20161004,000000,41700.0000000
KOGK,D,20161005,000000,41800.0000000
KOGK,D,20161006,000000,42700.0000000
KOGK,D,20161007,000000,41100.0000000
KOGK,D,20161010,000000,41100.0000000
KOGK,D,20161011,000000,41000.0000000
KOGK,D,20161012,000000,41000.0000000
KOGK,D,20161013,000000,41000.0000000
KOGK,D,20161014,000000,41000.0000000
KOGK,D,20161017,000000,45000.0000000
KOGK,D,20161018,000000,49000.0000000
KOGK,D,20161019,000000,52900.0000000
KOGK,D,20161020,000000,53000.0000000
KOGK,D,20161021,000000,53700.0000000
KOGK,D,20161024,000000,57900.0000000
KOGK,D,20161025,000000,55300.0000000
KOGK,D,20161026,000000,59000.0000000
KOGK,D,20161027,000000,59000.0000000
KOGK,D,20161028,000000,59000.0000000
KOGK,D,20161031,000000,59500.0000000
KOGK,D,20161101,000000,62900.0000000
KOGK,D,20161102,000000,62000.0000000
KOGK,D,20161103,000000,60000.0000000
KOGK,D,20161107,000000,62800.0000000
KOGK,D,20161108,000000,65000.0000000
KOGK,D,20161109,000000,62400.0000000
KOGK,D,20161110,000000,66200.0000000
KOGK,D,20161111,000000,66000.0000000
KOGK,D,20161114,000000,62900.0000000
KOGK,D,20161115,000000,62600.0000000
KOGK,D,20161117,000000,60500.0000000
KOGK,D,20161118,000000,57700.0000000
KOGK,D,20161121,000000,58900.0000000
KOGK,D,20161122,000000,57700.0000000
KOGK,D,20161123,000000,55600.0000000
KOGK,D,20161124,000000,56800.0000000
KOGK,D,20161130,000000,54900.0000000
KOGK,D,20161202,000000,55000.0000000
KOGK,D,20161206,000000,53900.0000000
KOGK,D,20161213,000000,56800.0000000
KOGK,D,20161220,000000,56800.0000000
KOGK,D,20161229,000000,56000.0000000
KOGK,D,20170104,000000,54500.0000000
KOGK,D,20170105,000000,54900.0000000
KOGK,D,20170109,000000,54700.0000000
KOGK,D,20170113,000000,55600.0000000
KOGK,D,20170116,000000,55800.0000000
KOGK,D,20170119,000000,57000.0000000
KOGK,D,20170126,000000,58400.0000000
KOGK,D,20170201,000000,56800.0000000
KOGK,D,20170210,000000,57000.0000000
KOGK,D,20170213,000000,58200.0000000
KOGK,D,20170214,000000,59000.0000000
KOGK,D,20170215,000000,59400.0000000
KOGK,D,20170216,000000,60000.0000000
KOGK,D,20170220,000000,61500.0000000
KOGK,D,20170221,000000,61300.0000000
KOGK,D,20170227,000000,60000.0000000
KOGK,D,20170228,000000,61200.0000000
KOGK,D,20170301,000000,62000.0000000
KOGK,D,20170302,000000,60000.0000000
KOGK,D,20170303,000000,60000.0000000
KOGK,D,20170306,000000,62500.0000000
KOGK,D,20170307,000000,60300.0000000
KOGK,D,20170309,000000,60500.0000000
KOGK,D,20170310,000000,74200.0000000
KOGK,D,20170313,000000,84000.0000000
KOGK,D,20170314,000000,76000.0000000
