<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKM,D,20160314,000000,93.6400000
RTKM,D,20160315,000000,94.0000000
RTKM,D,20160316,000000,94.2700000
RTKM,D,20160317,000000,97.3300000
RTKM,D,20160318,000000,95.8000000
RTKM,D,20160321,000000,94.3600000
RTKM,D,20160322,000000,95.8000000
RTKM,D,20160323,000000,96.4500000
RTKM,D,20160324,000000,96.0800000
RTKM,D,20160325,000000,95.2800000
RTKM,D,20160328,000000,94.0500000
RTKM,D,20160329,000000,94.4800000
RTKM,D,20160330,000000,98.3500000
RTKM,D,20160331,000000,98.6000000
RTKM,D,20160401,000000,98.3400000
RTKM,D,20160404,000000,97.7700000
RTKM,D,20160405,000000,96.4000000
RTKM,D,20160406,000000,96.9000000
RTKM,D,20160407,000000,97.7600000
RTKM,D,20160408,000000,98.1300000
RTKM,D,20160411,000000,100.0700000
RTKM,D,20160412,000000,97.8700000
RTKM,D,20160413,000000,99.2100000
RTKM,D,20160414,000000,96.3300000
RTKM,D,20160415,000000,96.0500000
RTKM,D,20160418,000000,93.4800000
RTKM,D,20160419,000000,95.6900000
RTKM,D,20160420,000000,97.5900000
RTKM,D,20160421,000000,97.6600000
RTKM,D,20160422,000000,100.0000000
RTKM,D,20160425,000000,98.6100000
RTKM,D,20160426,000000,99.0900000
RTKM,D,20160427,000000,98.2000000
RTKM,D,20160428,000000,99.9900000
RTKM,D,20160429,000000,98.5000000
RTKM,D,20160504,000000,95.9700000
RTKM,D,20160505,000000,94.1700000
RTKM,D,20160506,000000,94.1000000
RTKM,D,20160510,000000,94.9000000
RTKM,D,20160511,000000,97.4900000
RTKM,D,20160512,000000,95.8000000
RTKM,D,20160513,000000,96.3000000
RTKM,D,20160516,000000,97.3000000
RTKM,D,20160517,000000,98.5000000
RTKM,D,20160518,000000,98.8000000
RTKM,D,20160519,000000,96.1100000
RTKM,D,20160520,000000,95.4700000
RTKM,D,20160523,000000,96.4600000
RTKM,D,20160524,000000,97.0600000
RTKM,D,20160525,000000,96.6300000
RTKM,D,20160526,000000,95.1800000
RTKM,D,20160527,000000,97.2000000
RTKM,D,20160530,000000,97.2000000
RTKM,D,20160531,000000,97.5000000
RTKM,D,20160601,000000,97.0900000
RTKM,D,20160602,000000,95.9000000
RTKM,D,20160603,000000,96.1000000
RTKM,D,20160606,000000,96.4200000
