<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
UPRO,D,20160314,000000,2.5100000
UPRO,D,20160315,000000,2.4750000
UPRO,D,20160316,000000,2.4950000
UPRO,D,20160317,000000,2.5500000
UPRO,D,20160318,000000,2.7310000
UPRO,D,20160321,000000,2.7100000
UPRO,D,20160322,000000,2.6160000
UPRO,D,20160323,000000,2.6350000
UPRO,D,20160324,000000,2.6480000
UPRO,D,20160325,000000,2.6660000
UPRO,D,20160328,000000,2.6580000
UPRO,D,20160329,000000,2.6320000
UPRO,D,20160330,000000,2.6560000
UPRO,D,20160331,000000,2.6490000
UPRO,D,20160401,000000,2.6400000
UPRO,D,20160404,000000,2.6430000
UPRO,D,20160405,000000,2.5970000
UPRO,D,20160406,000000,2.6110000
UPRO,D,20160407,000000,2.6220000
UPRO,D,20160408,000000,2.6150000
UPRO,D,20160411,000000,2.5970000
UPRO,D,20160412,000000,2.5780000
UPRO,D,20160413,000000,2.6000000
UPRO,D,20160414,000000,2.5930000
UPRO,D,20160415,000000,2.5890000
UPRO,D,20160418,000000,2.5870000
UPRO,D,20160419,000000,2.5870000
UPRO,D,20160420,000000,2.5790000
UPRO,D,20160421,000000,2.5880000
UPRO,D,20160422,000000,2.6090000
UPRO,D,20160425,000000,2.6230000
UPRO,D,20160426,000000,2.6010000
UPRO,D,20160427,000000,2.6000000
UPRO,D,20160428,000000,2.6050000
UPRO,D,20160429,000000,2.6390000
UPRO,D,20160504,000000,2.6450000
UPRO,D,20160505,000000,2.6400000
UPRO,D,20160506,000000,2.6300000
UPRO,D,20160510,000000,2.6250000
UPRO,D,20160511,000000,2.6090000
UPRO,D,20160512,000000,2.5990000
UPRO,D,20160513,000000,2.6100000
UPRO,D,20160516,000000,2.6030000
UPRO,D,20160517,000000,2.6070000
UPRO,D,20160518,000000,2.6070000
UPRO,D,20160519,000000,2.6030000
UPRO,D,20160520,000000,2.6300000
UPRO,D,20160523,000000,2.6040000
UPRO,D,20160524,000000,2.6050000
UPRO,D,20160525,000000,2.6470000
UPRO,D,20160526,000000,2.6350000
UPRO,D,20160527,000000,2.6550000
UPRO,D,20160530,000000,2.6540000
UPRO,D,20160531,000000,2.5280000
UPRO,D,20160601,000000,2.6200000
UPRO,D,20160602,000000,2.5950000
UPRO,D,20160603,000000,2.6290000
UPRO,D,20160606,000000,2.6170000
UPRO,D,20160607,000000,2.6440000
UPRO,D,20160608,000000,2.6720000
UPRO,D,20160609,000000,2.6800000
UPRO,D,20160610,000000,2.6710000
UPRO,D,20160614,000000,2.6750000
UPRO,D,20160615,000000,2.7050000
UPRO,D,20160616,000000,2.7210000
UPRO,D,20160617,000000,2.7450000
UPRO,D,20160620,000000,2.7650000
UPRO,D,20160621,000000,2.7500000
UPRO,D,20160622,000000,2.7300000
UPRO,D,20160623,000000,2.7390000
UPRO,D,20160624,000000,2.7140000
UPRO,D,20160627,000000,2.7300000
UPRO,D,20160628,000000,2.7260000
UPRO,D,20160629,000000,2.7390000
UPRO,D,20160630,000000,2.7490000
UPRO,D,20160701,000000,2.6040000
UPRO,D,20160704,000000,2.6080000
UPRO,D,20160705,000000,2.5980000
UPRO,D,20160706,000000,2.6500000
UPRO,D,20160707,000000,2.6500000
UPRO,D,20160708,000000,2.6380000
UPRO,D,20160711,000000,2.6500000
UPRO,D,20160712,000000,2.6630000
UPRO,D,20160713,000000,2.6540000
UPRO,D,20160714,000000,2.6660000
UPRO,D,20160715,000000,2.7230000
UPRO,D,20160718,000000,2.7730000
UPRO,D,20160719,000000,2.7600000
UPRO,D,20160720,000000,2.7600000
UPRO,D,20160721,000000,2.8030000
UPRO,D,20160722,000000,2.8120000
UPRO,D,20160725,000000,2.8510000
UPRO,D,20160726,000000,2.8470000
UPRO,D,20160727,000000,2.8580000
UPRO,D,20160728,000000,2.9500000
UPRO,D,20160729,000000,3.0000000
UPRO,D,20160801,000000,2.9410000
UPRO,D,20160802,000000,2.8450000
UPRO,D,20160803,000000,2.8480000
UPRO,D,20160804,000000,2.8740000
UPRO,D,20160805,000000,2.8800000
UPRO,D,20160808,000000,2.9230000
UPRO,D,20160809,000000,2.9540000
UPRO,D,20160810,000000,2.9230000
UPRO,D,20160811,000000,2.9200000
UPRO,D,20160812,000000,2.9000000
UPRO,D,20160815,000000,2.8830000
UPRO,D,20160816,000000,2.8400000
UPRO,D,20160817,000000,2.8850000
UPRO,D,20160818,000000,2.9000000
UPRO,D,20160819,000000,2.8920000
UPRO,D,20160822,000000,2.8740000
UPRO,D,20160823,000000,2.8300000
UPRO,D,20160824,000000,2.7940000
UPRO,D,20160825,000000,2.8240000
UPRO,D,20160826,000000,2.8300000
UPRO,D,20160829,000000,2.8100000
UPRO,D,20160830,000000,2.8300000
UPRO,D,20160831,000000,2.8300000
UPRO,D,20160901,000000,2.8000000
UPRO,D,20160902,000000,2.8070000
UPRO,D,20160905,000000,2.7950000
UPRO,D,20160906,000000,2.7960000
UPRO,D,20160907,000000,2.8010000
UPRO,D,20160908,000000,2.7970000
UPRO,D,20160909,000000,2.8180000
UPRO,D,20160912,000000,2.8100000
UPRO,D,20160913,000000,2.7900000
UPRO,D,20160914,000000,2.7910000
UPRO,D,20160915,000000,2.7830000
UPRO,D,20160916,000000,2.7970000
UPRO,D,20160919,000000,2.7200000
UPRO,D,20160920,000000,2.7350000
UPRO,D,20160921,000000,2.7730000
UPRO,D,20160922,000000,2.8100000
UPRO,D,20160923,000000,2.7940000
UPRO,D,20160926,000000,2.7710000
UPRO,D,20160927,000000,2.8500000
UPRO,D,20160928,000000,2.8880000
UPRO,D,20160929,000000,2.8600000
UPRO,D,20160930,000000,2.8990000
UPRO,D,20161003,000000,2.8360000
UPRO,D,20161004,000000,2.8530000
UPRO,D,20161005,000000,2.8370000
UPRO,D,20161006,000000,2.8010000
UPRO,D,20161007,000000,2.7740000
UPRO,D,20161010,000000,2.7850000
UPRO,D,20161011,000000,2.7690000
UPRO,D,20161012,000000,2.7430000
UPRO,D,20161013,000000,2.7050000
UPRO,D,20161014,000000,2.7370000
UPRO,D,20161017,000000,2.7190000
UPRO,D,20161018,000000,2.7290000
UPRO,D,20161019,000000,2.7360000
UPRO,D,20161020,000000,2.7110000
UPRO,D,20161021,000000,2.7020000
UPRO,D,20161024,000000,2.7100000
UPRO,D,20161025,000000,2.7370000
UPRO,D,20161026,000000,2.7610000
UPRO,D,20161027,000000,2.7800000
UPRO,D,20161028,000000,2.7950000
UPRO,D,20161031,000000,2.9180000
UPRO,D,20161101,000000,2.8690000
UPRO,D,20161102,000000,2.8800000
UPRO,D,20161103,000000,2.8200000
UPRO,D,20161107,000000,2.7790000
UPRO,D,20161108,000000,2.7480000
UPRO,D,20161109,000000,2.7750000
UPRO,D,20161110,000000,2.7810000
UPRO,D,20161111,000000,2.7400000
UPRO,D,20161114,000000,2.7400000
UPRO,D,20161115,000000,2.7410000
UPRO,D,20161116,000000,2.7430000
UPRO,D,20161117,000000,2.7930000
UPRO,D,20161118,000000,2.8090000
UPRO,D,20161121,000000,2.8180000
UPRO,D,20161122,000000,2.8620000
UPRO,D,20161123,000000,2.8730000
UPRO,D,20161124,000000,2.8970000
UPRO,D,20161125,000000,2.9180000
UPRO,D,20161128,000000,2.8770000
UPRO,D,20161129,000000,2.8800000
UPRO,D,20161130,000000,2.8200000
UPRO,D,20161201,000000,2.8550000
UPRO,D,20161202,000000,2.8550000
UPRO,D,20161205,000000,2.8950000
UPRO,D,20161206,000000,2.9200000
UPRO,D,20161207,000000,2.9300000
UPRO,D,20161208,000000,2.9200000
UPRO,D,20161209,000000,2.9200000
UPRO,D,20161212,000000,2.9190000
UPRO,D,20161213,000000,2.9500000
UPRO,D,20161214,000000,2.9620000
UPRO,D,20161215,000000,2.9710000
UPRO,D,20161216,000000,2.8600000
UPRO,D,20161219,000000,2.8660000
UPRO,D,20161220,000000,2.8500000
UPRO,D,20161221,000000,2.8000000
UPRO,D,20161222,000000,2.7670000
UPRO,D,20161223,000000,2.7740000
UPRO,D,20161226,000000,2.7780000
UPRO,D,20161227,000000,2.8100000
UPRO,D,20161228,000000,2.8490000
UPRO,D,20161229,000000,2.8800000
UPRO,D,20161230,000000,2.8780000
UPRO,D,20170103,000000,2.9140000
UPRO,D,20170104,000000,2.9090000
UPRO,D,20170105,000000,2.8840000
UPRO,D,20170106,000000,2.8700000
UPRO,D,20170109,000000,2.9120000
UPRO,D,20170110,000000,2.9310000
UPRO,D,20170111,000000,2.9980000
UPRO,D,20170112,000000,2.9660000
UPRO,D,20170113,000000,2.9580000
UPRO,D,20170116,000000,2.9580000
UPRO,D,20170117,000000,2.9560000
UPRO,D,20170118,000000,2.9800000
UPRO,D,20170119,000000,2.9900000
UPRO,D,20170120,000000,2.9640000
UPRO,D,20170123,000000,2.9340000
UPRO,D,20170124,000000,2.8500000
UPRO,D,20170125,000000,2.8110000
UPRO,D,20170126,000000,2.8310000
UPRO,D,20170127,000000,2.8300000
UPRO,D,20170130,000000,2.8120000
UPRO,D,20170131,000000,2.8260000
UPRO,D,20170201,000000,2.7900000
UPRO,D,20170202,000000,2.8020000
UPRO,D,20170203,000000,2.8010000
UPRO,D,20170206,000000,2.7700000
UPRO,D,20170207,000000,2.8030000
UPRO,D,20170208,000000,2.7850000
UPRO,D,20170209,000000,2.7580000
UPRO,D,20170210,000000,2.7410000
UPRO,D,20170213,000000,2.7350000
UPRO,D,20170214,000000,2.7550000
UPRO,D,20170215,000000,2.7900000
UPRO,D,20170216,000000,2.7900000
UPRO,D,20170217,000000,2.7900000
UPRO,D,20170220,000000,2.7200000
UPRO,D,20170221,000000,2.7310000
UPRO,D,20170222,000000,2.6800000
UPRO,D,20170224,000000,2.6240000
UPRO,D,20170227,000000,2.5750000
UPRO,D,20170228,000000,2.5820000
UPRO,D,20170301,000000,2.6200000
UPRO,D,20170302,000000,2.5700000
UPRO,D,20170303,000000,2.5920000
UPRO,D,20170306,000000,2.5450000
UPRO,D,20170307,000000,2.5040000
UPRO,D,20170309,000000,2.4210000
UPRO,D,20170310,000000,2.4520000
UPRO,D,20170313,000000,2.4600000
UPRO,D,20170314,000000,2.4800000
